"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","GeneSymbol","EntrezID"
"100145126_TGI_at",-3.92034487568755,-1.10394421492894,-5.35402274642279,1.81613502196011e-07,1.79615753671855e-05,6.87638985596003,"Yes","MT1M",4499
"100130777_TGI_at",3.13477742241648,-3.49414929510574,5.34755241857154,1.87590675381214e-07,1.84073962458924e-05,6.84573523879907,"Yes","E2F8",79733
"100141719_TGI_at",-3.33449131329599,-3.23642512363937,-5.3396364816336,1.95163664945478e-07,1.91006272291171e-05,6.80827241142789,"Yes","CYP2C19",1557
"100141324_TGI_at",2.01622350436303,-0.598040828981333,5.33394107655924,2.00795250716639e-07,1.96007457465785e-05,6.7813461518976,"Yes","",81691
"100145758_TGI_at",-2.5306623628207,-3.10586688480551,-5.31918896323849,2.16126273045886e-07,2.0880353711081e-05,6.71171031271317,"Yes","CFP",5199
"100150956_TGI_at",2.32170575736371,-1.35735568440827,5.3139097753832,2.21884245252339e-07,2.13269915730778e-05,6.68682833626416,"Yes","AURKB",9212
"100137704_TGI_at",2.09336689488254,-1.92930666475671,5.29452965401558,2.44327555792642e-07,2.31292649919372e-05,6.59565704069795,"Yes","C6orf167",253714
"100144499_TGI_at",2.04736591455047,-2.04900304378379,5.28666569829626,2.54050224987435e-07,2.38692888886945e-05,6.55873904682931,"Yes","CENPH",64946
"100124563_TGI_at",-3.1132633211147,-2.88482911200555,-5.2692814902092,2.76895402512108e-07,2.56945259684199e-05,6.47728541057907,"Yes","MARCO",8685
"100150946_TGI_at",-3.75041275668146,-5.35129333190951,-5.25789606423272,2.92925482385032e-07,2.67381424388729e-05,6.42405710238982,"Yes","COL28A1",340267
"100146412_TGI_at",2.0714903383426,0.20666203306619,5.25776020732475,2.93122097940919e-07,2.67381424388729e-05,6.42342251892457,"Yes","GINS2",51659
"100129278_TGI_at",-2.67234486015789,-4.48574060997793,-5.25272167436585,3.0050517259927e-07,2.73452430911035e-05,6.39989709870006,"Yes","GABRP",2568
"100158086_TGI_at",-4.27447893706518,0.273022380804502,-5.25117039828444,3.028144185709e-07,2.74888199969361e-05,6.39265772560994,"Yes","HAMP",57817
"100135513_TGI_at",2.42606404649525,-1.81427172924693,5.23528282462071,3.27478689993524e-07,2.95139187705914e-05,6.31861499490076,"Yes","FAM111B",374393
"100126319_TGI_at",2.72125586864518,-0.47855698047718,5.23201726330903,3.32784539084394e-07,2.98489464149635e-05,6.30341874086111,"Yes","CDC6",990
"100148961_TGI_at",2.31350083893294,-0.57108281556847,5.2265645261175,3.41830609834576e-07,3.05873285209596e-05,6.27806170099133,"Yes","MCM6",4175
"100160184_TGI_at",-2.14052535128467,-4.70892905582231,-5.22481983558097,3.44775113923327e-07,3.07045932025272e-05,6.26995285895243,"Yes","HGF",3082
"100154474_TGI_at",-2.40044880681084,-3.71778313239959,-5.21028930039526,3.70273295218153e-07,3.26657534762644e-05,6.20250466133255,"Yes","EPHB1",2047
"100125569_TGI_at",2.00781131996359,-3.1846311551734,5.18463636536461,4.19824437056642e-07,3.61049015868712e-05,6.0838025445776,"Yes","PLK4",10733
"100146854_TGI_at",2.26909613976018,-2.07008298378291,5.18352889231889,4.22102488447107e-07,3.62179354356603e-05,6.07868878683517,"Yes","CKAP2L",150468
"100122516_TGI_at",2.75543390428964,-1.89518332078652,5.17067573870593,4.49434127454034e-07,3.82141026651075e-05,6.01940469709897,"Yes","ESCO2",157570
"100139011_TGI_at",2.16802468194983,-2.2979297169654,5.13825898193727,5.26210804921377e-07,4.42417325963203e-05,5.87042059360595,"Yes","TRAIP",10293
"100149199_TGI_at",-2.95387573465561,-0.83514259864293,-5.12774040664252,5.5375051776454e-07,4.60819025257258e-05,5.82224342892792,"Yes","MT1P3",140851
"100127418_TGI_at",-2.71930406728715,-2.40166672642391,-5.12756231480368,5.54228618530894e-07,4.60819025257258e-05,5.82142843060848,"Yes","NGFR",4804
"100144017_TGI_at",2.76648097926614,-1.52911849617622,5.11405899247074,5.91668461022927e-07,4.83393132655731e-05,5.75970115417605,"Yes","MLF1IP",79682
"100158040_TGI_at",2.5658616284016,-2.19402550623984,5.11170633468063,5.9843754034896e-07,4.86806918644905e-05,5.74896021273043,"Yes","CENPI",2491
"100149426_TGI_at",2.05296581390491,-3.08379883802006,5.08147716352451,6.9237858368416e-07,5.49052769915902e-05,5.61131233181265,"Yes","C11orf82",220042
"100125706_TGI_at",4.48351260098263,-0.170662477186294,5.07539958093291,7.12919493743864e-07,5.59351574402544e-05,5.58371938288169,"Yes","THBS4",7060
"100155052_TGI_at",2.34094854630917,-0.714492274912438,5.05966441818389,7.68881453020452e-07,5.90203559485848e-05,5.5124064078245,"Yes","LPL",4023
"100125234_TGI_at",2.01862787573608,-3.39807829092553,5.05103729230017,8.0134580765831e-07,6.10875824410033e-05,5.47338517960058,"Yes","KIF24",347240
"100159696_TGI_at",2.22932366193896,1.2694742920993,5.03092685544434,8.82259509122729e-07,6.61817901633741e-05,5.3826376108313,"Yes","C18orf56",494514
"100145969_TGI_at",-3.16923243476678,-2.06633801959195,-5.02737269005129,8.9735921816312e-07,6.66493164762972e-05,5.36663070846344,"Yes","SRPX",8406
"100142478_TGI_at",-2.33278269605525,-2.00446980623687,-5.00498476580446,9.98386354243328e-07,7.24350501258161e-05,5.26601750303599,"Yes","LIFR",3977
"100125256_TGI_at",2.07323941931886,-1.14826280483069,5.00312643682149,1.0072502181193e-06,7.29373366037757e-05,5.25768273994886,"Yes","FLVCR1",28982
"100149390_TGI_at",-2.28065165341952,-5.47744779647672,-5.00247094603571,1.01039491291376e-06,7.30243492637015e-05,5.25474342031241,"Yes","LRRC19",64922
"100144257_TGI_at",-2.85269306114809,-3.33736535625543,-4.99558036570268,1.04403244856309e-06,7.48794417593475e-05,5.22386434058887,"Yes","NCAM1",4684
"100131479_TGI_at",2.20899108084216,-1.01595435141869,4.98862248905889,1.07909703552974e-06,7.6808001494846e-05,5.19271950887733,"Yes","TRIM45",80263
"100125329_TGI_at",2.08915336807007,-0.677745658782846,4.97609842883597,1.1451050086214e-06,8.10458313258182e-05,5.13675014546591,"Yes","DNMT3B",1789
"100156323_TGI_at",2.07814295508917,0.0247004402051092,4.97312594372156,1.16133584671748e-06,8.20400823145422e-05,5.12348342392786,"Yes","FANCI",55215
"100126590_TGI_at",2.09413381640262,-1.50328308569901,4.96809633380281,1.18930752427902e-06,8.35449633223443e-05,5.1010503965493,"Yes","HIGD1B",51751
"100133262_TGI_at",-2.38846034172925,-0.306913990001982,-4.96622285996654,1.19989235019461e-06,8.41312580317424e-05,5.09269916544849,"Yes","",26084
"100144522_TGI_at",-2.38776596451218,-3.66505043184757,-4.9629484596181,1.21861138816882e-06,8.52404036041223e-05,5.07810942660062,"Yes","",400867
"100152174_TGI_at",-2.5659487002992,-0.509949185920867,-4.95666239511126,1.25534223435909e-06,8.70606350358241e-05,5.05012304930395,"Yes","LIFR",3977
"100146784_TGI_at",2.02731830115292,1.37095017481055,4.95592123485152,1.25974292174019e-06,8.71890579831301e-05,5.04682525173267,"Yes","KNTC1",9735
"100121973_TGI_at",2.79091117544698,-1.59443748223172,4.93153575007275,1.41314972908372e-06,9.61576869480302e-05,4.93855087668605,"Yes","RNFT2",84900
"100159372_TGI_at",-5.11870776786304,-2.38330851381487,-4.92724315127989,1.44196139211207e-06,9.76428703393795e-05,4.91953729970507,"Yes","CNDP1",84735
"100159615_TGI_at",-2.80897814368677,-3.09067541022478,-4.91652614516251,1.51639395726882e-06,0.000102152620563614,4.87212781282348,"Yes","GPR128",84873
